,smiles,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,qed
0,[O-][Si](=O)[O-].[Na+].[Na+],-4.4999999250000016e-08,31.774437510817343,3.5773502691896257,3.7247448713915894,8.72474487139159,1.7320508075688772,0.6123724356957946,1.8371173070873836,0.25000000000000006,0.7500000000000002,0.0,0.0,0.0,0.0,9.170249724093106,0.0,0.0,59.11457206521587,0.0,0.0,0.0,0.0,0.0,0.0,14.053285600878851,121.94120895,1.1666666666666667,1.1666666666666667,1.1666666666666667,0.0,1.6168831168831168,6,122.06299999999999,3.2451124978365313,15.645392318281276,9.793692784532926,45.79688021370415,81.24068428325153,8.518518518518519,1.0,8.518518518518519,1.0,0.0,0.6723890340062544,-3.6296296296296293,-0.6723890340062544,-8.8696,6.440499999999999,122.06299999999999,0,3,0,0,0,0,0,0,3,0,6,0,0,0,0,0,24,14.053285600878851,0.0,0.0,0.0,0.0,59.11457206521587,0.0,0.0,0.0,0.0,0.0,0.0,9.170249724093106,0.0,0,73.16785766609472,9.170249724093106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.70591099953569,0.0,0.0,0.0,9.170249724093106,4.4619466665590375,0.0,0.0,0.0,0.0,0.0,0.0,63.19,8.518518518518519,0.0,17.037037037037038,0.0,0.0,0.0,0.0,0.0,0.0,-3.6296296296296293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2995986404909013
1,O,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.476191835881363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.010564684,1.0,1.0,1.0,0.0,-0.04,1,15.999,0.0,0.9600000000000016,-27.040000000000028,-104.0400000000001,6.84923118831809,0.0,0.4115095219374226,0.0,-0.4115095219374226,0.0,0.4115095219374226,0.0,-0.4115095219374226,-0.8247,3.6138,18.015,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,5.476191835881363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.476191835881363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.476191835881363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3277476769246249
2,OS(=O)(=O)O,4.062942298971397,86.81635834269238,4.5,2.119172062391505,2.935668643319231,2.0,0.6984817050034442,2.095445115010332,0.44783343683672183,1.3435003105101653,0.0,0.0,0.0,0.0,10.399000581649606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.523296731709664,97.96737954400001,1.2,1.2,1.2,0.0,-0.13000000000000003,5,96.06299999999999,3.6096404744368114,4.87,0.9251210352643447,800.7694082840233,29.006182551727598,8.743055555555555,0.3943465294963554,8.743055555555555,0.3943465294963554,4.666666666666666,0.26367572710715836,-4.666666666666666,-0.26367572710715836,-0.6527999999999998,14.1774,98.07899999999998,2,4,0,0,0,0,0,0,2,2,5,0,0,0,0,0,32,0.0,0.0,0.0,0.0,0.0,10.399000581649606,9.105499747380728,0.0,8.417796984328938,0.0,0.0,0.0,0.0,0.0,0,17.523296731709664,10.399000581649606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.523296731709664,10.399000581649606,0.0,0.0,0.0,0.0,0.0,0.0,74.6,31.583333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3945181101484369
3,[NH4+].[F-],0.0,2.0,0.0,1.3779644730092273,1.3779644730092273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.854942732051944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.032777348,1.0,1.0,1.0,0.0,-0.11000000000000001,2,33.005,0.0,123.72471074380158,0.8900000000000012,-11.2009090909091,12.232891088251368,0.0,1.0,0.0,-0.36885902728094044,0.0,0.36885902728094044,0.0,-1.0,-2.6198,5.9848,37.037000000000006,4,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,16,10.854942732051944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.704396381733906,0.0,0.0,6.150546350318038,0.0,0.0,0.0,0.0,0.0,0.0,10.854942732051944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.30561326859275323
4,CCO[Si](OCC)(OCC)OCC,4.1856116450973095,91.20187914912017,10.156854249492381,8.961420286601642,9.961420286601642,6.242640687119286,4.7996242440531685,6.432617405908621,2.232050807568877,4.386751345948129,1.2844570503761732,3.853371151128521,0.9571067811865475,2.8713203435596437,9.047956109198802,0.0,0.0,0.0,26.427527858051672,0.0,0.0,0.0,27.694948798762496,0.0,17.704020104477003,208.11308565,0.6153846153846154,0.8461538461538461,1.0,1.0,0.056883116883116876,13,188.16999999999996,611.2082327699322,13.056883116883117,7.459718181424668,4.729762831791824,81.62232810764343,5.423055555555556,0.6791845026500313,5.423055555555556,0.6791845026500313,0.5478395061728395,0.3514835966667159,-2.7955246913580254,-0.3514835966667159,1.568,52.258000000000045,208.32999999999996,0,4,0,0,0,0,0,0,4,0,5,0,8,0,0,0,80,17.704020104477003,0.0,0.0,0.0,0.0,9.047956109198802,0.0,0.0,0.0,0.0,0.0,27.694948798762496,26.427527858051672,0.0,0,17.704020104477003,9.047956109198802,0.0,0.0,0.0,27.694948798762496,26.427527858051672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.475483967250476,17.704020104477003,0.0,27.694948798762496,0.0,0.0,0.0,0.0,36.92,21.692222222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.797746913580248,-2.7955246913580254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5673627158643818
5,CCO,1.6329931618554523,2.7548875021634682,2.7071067811865475,2.1543203766865053,2.1543203766865053,1.4142135623730951,1.0233345472033855,1.0233345472033855,0.3162277660168379,0.3162277660168379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.606881964512918,0.0,0.0,0.0,6.923737199690624,0.0,0.0,5.106527394840706,46.041864812,2.0,2.0,2.0,1.0,-0.04,3,40.021,2.7548875021634682,2.9600000000000004,1.96,1.9600000000000033,19.89842689442217,7.569444444444445,0.3966637147812598,7.569444444444445,0.04022058174908642,0.25,0.04022058174908642,0.25,-0.3966637147812598,-0.0014000000000000123,12.759800000000002,46.069,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,20,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,6.606881964512918,0.0,0,5.106527394840706,0.0,0.0,0.0,0.0,6.923737199690624,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.713409359353623,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,20.23,0.0,0.0,0.0,7.569444444444445,0.0,0.0,0.0,0.0,1.9305555555555556,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40680796565539457
6,C(=O)(C(=O)O)O,3.567703455043203,71.5488750216347,5.1547005383792515,2.710923771927642,2.710923771927642,2.6427344100918364,1.105461885963821,1.105461885963821,0.6103051288169659,0.6103051288169659,0.18295375958419435,0.18295375958419435,0.0,0.0,11.938610575903699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.802129157825057,89.99530854400001,1.0,1.1666666666666667,1.1666666666666667,0.0,-1.06,6,88.018,13.609640474436812,4.939999999999998,1.3955229556294972,1.2801360544217681,33.01570484670571,9.099537037037036,0.4728148209556821,9.099537037037036,0.4143587214951982,1.8240740740740737,0.4143587214951982,-1.8240740740740737,-0.4728148209556821,-0.8443999999999998,15.2716,90.03399999999999,2,4,0,0,0,0,0,0,2,2,4,0,0,0,0,0,34,10.213054789681411,0.0,0.0,0.0,0.0,11.938610575903699,0.0,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,0,19.802129157825057,11.938610575903699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.15166536558511,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,74.60000000000001,0.0,0.0,18.199074074074073,14.782407407407407,0.0,-3.6481481481481475,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37994913775585776
7,[NH4+].[OH-],0.0,2.0,0.0,1.4472135954999579,1.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6267381861994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.03711378,1.0,1.0,1.0,0.0,-0.08,2,30.006,0.0,253.91999999999993,0.9200000000000015,-14.580000000000016,12.984981552264705,0.0,0.8696814924318097,0.0,-0.36885902728094044,0.0,0.36885902728094044,0.0,-0.8696814924318097,0.1993999999999999,7.920599999999999,35.04600000000001,5,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,16,11.6267381861994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.476191835881363,0.0,0.0,6.150546350318038,0.0,0.0,0.0,0.0,0.0,0.0,6.150546350318038,0.0,0.0,0.0,5.476191835881363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4086521374308602
8,Cl,0.0,0.0,0.0,0.4082482904638631,1.224744871391589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.407033161179976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.976677712,1.0,1.0,1.0,0.0,0.29,1,35.453,0.0,1.2900000000000005,1.7382758620689658,10.083103448275864,13.521571012453132,0.0,0.14658906651455728,0.0,-0.14658906651455728,0.0,0.14658906651455728,0.0,-0.14658906651455728,0.4218,7.247999999999999,36.461000000000006,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.407033161179976,0.0,0.0,0.0,0.0,0,0.0,12.407033161179976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.407033161179976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3651643237938947
9,CN(C)C=O,2.825749368745867,33.87430298092722,4.284457050376173,3.4328121551534467,3.4328121551534467,2.270055610029662,1.3883283411425928,1.3883283411425928,1.0690206303332261,1.0690206303332261,0.210818510677892,0.210818510677892,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,6.410095306116121,4.899909730850478,14.09534396535438,0.0,0.0,0.0,73.052763844,1.6,1.8,1.8,0.6666666666666666,-0.53,5,66.03899999999999,9.65148445440323,4.469999999999999,1.7581844380403455,3.469999999999999,31.390491026869903,9.430555555555555,0.35138679501082243,9.430555555555555,0.2086847180796838,0.75,0.2086847180796838,0.75,-0.35138679501082243,-0.2956000000000001,19.750999999999998,73.095,0,2,0,0,0,0,0,0,1,0,2,0,1,0,0,0,30,4.899909730850478,0.0,0.0,6.410095306116121,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,14.09534396535438,0.0,0,4.794537184071822,6.410095306116121,0.0,4.899909730850478,0.0,0.0,14.09534396535438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.405349002320982,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,20.310000000000002,0.0,0.0,10.875,0.0,0.0,0.0,0.0,0.75,0.0,3.375,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3902682398861675
10,C1CC(N(C1)C(=O)C(CCCCN)N)C(=O)O,2.4736196560775614,283.1352211271444,12.836498814253963,9.97007231699198,9.97007231699198,8.074586062669974,6.065317015642369,6.065317015642369,4.418846071243706,4.418846071243706,3.1073882920911817,3.1073882920911817,2.1322832277435566,2.1322832277435566,18.05298694624777,9.589074368143644,0.0,5.907179729351506,25.93115605767717,19.26246486877803,4.899909730850478,0.0,0.0,0.0,16.573862349165076,243.158291532,1.411764705882353,2.1176470588235294,2.7058823529411766,0.8181818181818182,-1.1400000000000001,17,222.13899999999998,7132.81410071828,13.923051702395966,6.560193684969145,3.674884597831502,100.93973403477877,11.960693972033258,0.4797121316677666,11.960693972033258,0.3259154946111675,0.24359126984126966,0.3259154946111675,-0.9398072299907614,-0.4797121316677666,-0.4816999999999972,63.251600000000025,243.30699999999993,5,6,0,1,1,0,0,0,4,3,6,0,6,0,1,1,98,21.473772080015557,6.041840829147961,0.0,5.907179729351506,0.0,5.969305287951849,4.794537184071822,4.794537184071822,0.0,0.0,6.4208216229260096,32.22804289761661,6.544756405912575,6.041840829147961,1,14.69560176298435,11.876485017303356,0.0,4.899909730850478,11.46733495432437,44.18778977292597,13.08951281182515,0.0,0.0,0.0,11.46733495432437,0.0,0.0,0.0,47.056116613115606,9.589074368143644,0.0,32.10410811463005,0.0,0.0,0.0,0.0,109.64999999999999,0.0,0.0,24.307119934789036,8.977225968325806,11.136120629177087,-1.183398499832031,-1.2874458564289921,3.4643018550012594,1.086075968967834,0.0,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5456595093000814
11,CO,1.0,2.0,2.0,1.4472135954999579,1.4472135954999579,1.0,0.4472135954999579,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.109797541277533,0.0,0.0,0.0,0.0,5.106527394840706,32.026214748,1.5,1.5,1.5,1.0,-0.04,2,28.009999999999998,2.0,1.96,0.9600000000000016,-27.040000000000028,13.533484780025564,7.0,0.3996302435573072,7.0,0.031940683717728124,1.0,0.031940683717728124,1.0,-0.3996302435573072,-0.3915,8.1428,32.042,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,14,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.109797541277533,0.0,0,5.106527394840706,0.0,0.0,0.0,0.0,0.0,7.109797541277533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.216324936118239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.23,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38528440447384316
12,CO[Si](C)(OC)OC,3.5832125652604643,54.039100017307746,6.621320343559643,5.724744871391589,6.724744871391589,3.6819805153394642,2.337117307087384,4.5618621784789735,1.4747448713915892,4.424234614174767,1.1123724356957947,3.337117307087384,0.25000000000000006,0.7500000000000002,8.80443515703238,0.0,0.0,0.0,0.0,0.0,0.0,21.3293926238326,6.5470113536810866,0.0,13.278015078357752,136.05557077400002,0.875,1.125,1.125,1.0,0.09688311688311688,8,124.12699999999998,52.28341890015258,8.096883116883117,3.1878520832843495,1.9139561725147793,50.925685891641876,4.930555555555555,0.4963679485372549,4.930555555555555,0.4963679485372549,1.5825617283950617,0.3769849249217351,-2.171296296296296,-0.3769849249217351,0.49429999999999985,32.64499999999998,136.22299999999998,0,3,0,0,0,0,0,0,3,0,4,0,3,0,0,0,50,13.278015078357752,0.0,0.0,0.0,0.0,8.80443515703238,0.0,0.0,0.0,0.0,0.0,0.0,27.876403977513686,0.0,0,13.278015078357752,8.80443515703238,0.0,0.0,0.0,6.5470113536810866,21.3293926238326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.13382778086498,13.278015078357752,0.0,0.0,0.0,6.5470113536810866,0.0,0.0,27.69,14.791666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8263888888888888,2.5763888888888893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5285489701642595
13,CO[Si](CCCOCC1CO1)(OC)OC,2.037710712109334,161.62097645107602,11.148418081055103,9.65412562744168,10.65412562744168,7.260278777324328,5.108894942788338,7.040746595366476,3.429195286573296,6.519965561749327,2.4107633188332422,5.24271454890675,1.325969040766726,3.015691745652148,8.80443515703238,0.0,0.0,0.0,19.31773031677414,19.0717993643554,0.0,21.3293926238326,0.0,0.0,22.751740985957852,236.10800027000002,1.2,1.8,2.2666666666666666,1.0,0.016883116883116875,15,216.17999999999995,4463.164103984707,13.083474831835984,6.567298974129883,4.582458156055459,91.97165576910943,5.417021919879063,0.499726459840495,5.417021919879063,0.499726459840495,0.3326643203577726,0.37867012922571586,-2.390210616654069,-0.37867012922571586,0.6699999999999997,56.764000000000046,236.33999999999997,0,5,0,1,1,0,0,0,5,0,6,0,9,0,1,1,90,22.751740985957852,6.103966387748303,0.0,0.0,0.0,8.80443515703238,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,33.98037036526199,13.213763929025836,1,22.751740985957852,8.80443515703238,0.0,0.0,0.0,18.568883787590785,41.15003851737136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.05844006215203,22.751740985957852,0.0,6.4208216229260096,0.0,6.044095776916472,0.0,0.0,49.45,26.317538383408923,0.0,0.0,0.0,0.0,0.0,0.7797855253212397,1.2160593820861676,2.2352111284328546,2.479183358528597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.3344449041662985
14,CCO[Si](CCCN)(OCC)OCC,4.210670443406352,118.20592425326386,10.86396103067893,9.544735827700501,10.544735827700501,6.7426406871192865,5.361519864097014,7.293371516675149,2.874279332756965,5.606330140325841,1.7798393687098562,4.931269815665704,1.3198143829493563,3.9594431488480697,8.80443515703238,0.0,0.0,0.0,26.36540229945133,12.46491739984248,0.0,0.0,20.771211599071872,0.0,19.011682555519936,221.14472012599998,0.9285714285714286,1.3571428571428572,1.6428571428571428,1.0,0.056883116883116876,14,198.18899999999996,1050.0173092743617,14.05688311688312,8.372197402303255,5.066419437153193,88.09028716063763,5.651388888888889,0.5004732209673115,5.651388888888889,0.5004732209673115,0.6357079868984631,0.37374399828448146,-2.396496913580248,-0.37374399828448146,1.3835999999999997,59.11040000000004,221.37299999999993,2,4,0,0,0,0,0,0,4,1,5,0,9,0,0,0,86,19.011682555519936,0.0,0.0,0.0,0.0,8.80443515703238,0.0,0.0,0.0,0.0,0.0,33.736789627910454,25.864741670455228,0.0,0,13.278015078357752,8.80443515703238,0.0,0.0,5.733667477162185,33.23612899891435,26.36540229945133,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,35.16983745648371,13.278015078357752,0.0,27.19203322199788,0.0,6.044095776916472,0.0,0.0,53.71000000000001,16.954166666666666,0.0,0.0,0.0,5.479727891156463,0.0,0.8184722222222223,0.8950617283950617,8.443512849584279,-2.396496913580248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5977277142355135
